Novak Djokovic;Doha;Round of 16;Fernando Verdasco;49;W;62 62
Novak Djokovic;Doha;Round of 32;Dustin Brown;118;W;62 62
Novak Djokovic;ATP Finals;Finals;Roger Federer;3;W;63 64
Novak Djokovic;ATP Finals;Semi-Finals;Rafael Nadal;5;W;63 63
Novak Djokovic;ATP Finals;Round Robin;Tomas Berdych;6;W;63 75
Novak Djokovic;ATP Finals;Round Robin;Roger Federer;3;L;57 26
Novak Djokovic;ATP Finals;Round Robin;Kei Nishikori;8;W;61 61
Novak Djokovic;ATP Masters 1000 Paris;Finals;Andy Murray;3;W;62 64
Novak Djokovic;ATP Masters 1000 Paris;Semi-Finals;Stan Wawrinka;4;W;63 36 60
Novak Djokovic;ATP Masters 1000 Paris;Quarter-Finals;Tomas Berdych;5;W;763 768
Novak Djokovic;ATP Masters 1000 Paris;Round of 16;Gilles Simon;15;W;63 75
Novak Djokovic;ATP Masters 1000 Paris;Round of 32;Thomaz Bellucci;40;W;75 63
Novak Djokovic;ATP Masters 1000 Paris;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Shanghai;Finals;Jo-Wilfried Tsonga;15;W;62 64
Novak Djokovic;ATP Masters 1000 Shanghai;Semi-Finals;Andy Murray;2;W;61 63
Novak Djokovic;ATP Masters 1000 Shanghai;Quarter-Finals;Bernard Tomic;20;W;766 61
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 16;Feliciano Lopez;17;W;62 63
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 32;Martin Klizan;44;W;62 61
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 64;Bye;;;
Novak Djokovic;Beijing;Finals;Rafael Nadal;8;W;62 62
Novak Djokovic;Beijing;Semi-Finals;David Ferrer;7;W;62 63
Novak Djokovic;Beijing;Quarter-Finals;John Isner;13;W;62 62
Novak Djokovic;Beijing;Round of 16;Ze Zhang;219;W;62 61
Novak Djokovic;Beijing;Round of 32;Simone Bolelli;59;W;61 61
Novak Djokovic;US Open;Finals;Roger Federer;2;W;64 57 64 64
Novak Djokovic;US Open;Semi-Finals;Marin Cilic;9;W;60 61 62
Novak Djokovic;US Open;Quarter-Finals;Feliciano Lopez;19;W;61 36 63 762
Novak Djokovic;US Open;Round of 16;Roberto Bautista Agut;23;W;63 46 64 63
Novak Djokovic;US Open;Round of 32;Andreas Seppi;25;W;63 75 75
Novak Djokovic;US Open;Round of 64;Andreas Haider-Maurer;52;W;64 61 62
Novak Djokovic;US Open;Round of 128;Joao Souza;91;W;61 61 61
